epoch train_acc1 val_acc1 test_acc1
0 0 11.016666666666667 11.52
0 72.99318720379146 77.53333333333333 97.85
1 78.16572867298578 77.71666666666667 98.14
2 78.50821978672985 78.06666666666666 98.45
3 78.80998222748815 78.3 98.75
4 78.88403436018957 78.36666666666666 98.57
5 79.02843601895735 78.26666666666667 98.68
6 79.03584123222748 77.98333333333333 98.36
7 79.08582642180095 78.36666666666666 98.75
8 79.14136552132702 78.43333333333334 98.63
9 79.55420616113744 78.66666666666667 99.0
10 79.62825829383887 78.65 98.97
11 79.65602784360189 78.7 98.98
12 79.67268957345972 78.7 98.94
13 79.68564869668246 78.7 98.88
14 79.70231042654028 78.66666666666667 98.97
15 79.73007997630332 78.71666666666667 98.92
16 79.73563388625593 78.66666666666667 98.92
17 79.75970082938389 78.71666666666667 98.91
18 79.75229561611374 78.58333333333333 98.91
19 79.80413210900474 78.65 98.92
20 79.8226451421801 78.65 98.88
21 79.82079383886256 78.65 98.94
22 79.82449644549763 78.65 98.9
23 79.8281990521327 78.55 98.9
24 79.81523992890995 78.66666666666667 98.93
25 79.83190165876778 78.65 98.9
26 79.83375296208531 78.63333333333334 98.9
27 79.83930687203791 78.63333333333334 98.92
28 79.83375296208531 78.61666666666666 98.89
29 79.83560426540285 78.61666666666666 98.89
30 79.83375296208531 78.61666666666666 98.89
31 79.83190165876778 78.63333333333334 98.9
32 79.85226599526067 78.66666666666667 98.89
33 79.85041469194313 78.58333333333333 98.9
34 79.84856338862559 78.65 98.86
35 79.85226599526067 78.63333333333334 98.86
36 79.86707642180095 78.56666666666666 98.92
37 79.85596860189574 78.6 98.83
38 79.84486078199052 78.63333333333334 98.87
39 79.85967120853081 78.6 98.84
40 79.85226599526067 78.61666666666666 98.85
41 79.85967120853081 78.6 98.85
42 79.87077902843602 78.6 98.88
43 79.86707642180095 78.58333333333333 98.83
44 79.85781990521328 78.56666666666666 98.8
45 79.8541172985782 78.61666666666666 98.83
46 79.85226599526067 78.6 98.83
47 79.87077902843602 78.63333333333334 98.79
48 79.8800355450237 78.56666666666666 98.84
49 79.87448163507109 78.61666666666666 98.82
50 79.8855894549763 78.55 98.77
51 79.88744075829383 78.6 98.8
52 79.89114336492891 78.56666666666666 98.79
53 79.89669727488152 78.55 98.81
54 79.90410248815166 78.53333333333333 98.79
55 79.89669727488152 78.58333333333333 98.76
56 79.90039988151659 78.58333333333333 98.78
57 79.89299466824644 78.55 98.79
58 79.90965639810426 78.55 98.77
59 79.90965639810426 78.56666666666666 98.77
60 79.89299466824644 78.53333333333333 98.77
61 79.9115077014218 78.56666666666666 98.77
62 79.90965639810426 78.56666666666666 98.75
63 79.92261552132702 78.58333333333333 98.73
64 79.92631812796209 78.55 98.74
65 79.90039988151659 78.55 98.75
66 79.92076421800948 78.55 98.75
67 79.92446682464455 78.55 98.73
68 79.94112855450237 78.56666666666666 98.72
69 79.93557464454976 78.55 98.74
70 79.94853376777252 78.53333333333333 98.74
71 79.95779028436019 78.55 98.72
72 79.9374259478673 78.55 98.73
73 79.95779028436019 78.51666666666667 98.75
74 79.9374259478673 78.51666666666667 98.73
75 79.94668246445498 78.53333333333333 98.71
76 79.97445201421802 78.53333333333333 98.69
77 79.96519549763033 78.5 98.72
78 79.97445201421802 78.51666666666667 98.7
79 79.96704680094787 78.56666666666666 98.67
80 79.9688981042654 78.5 98.66
81 79.97074940758294 78.48333333333333 98.69
82 79.97445201421802 78.5 98.64
83 80.0003702606635 78.45 98.69
84 79.98185722748815 78.5 98.67
85 79.99111374407583 78.48333333333333 98.63
86 79.9892624407583 78.51666666666667 98.66
87 79.98741113744076 78.48333333333333 98.64
88 79.99111374407583 78.51666666666667 98.68
89 79.98370853080569 78.46666666666667 98.6
90 80.01888329383887 78.46666666666667 98.59
91 79.9892624407583 78.5 98.58
92 79.99851895734596 78.41666666666667 98.6
93 80.02813981042654 78.48333333333333 98.61
94 80.02443720379146 78.48333333333333 98.57
95 80.01332938388626 78.5 98.59
96 80.03184241706161 78.51666666666667 98.57
97 80.03184241706161 78.51666666666667 98.57
98 80.03924763033176 78.48333333333333 98.6
99 80.02999111374407 78.45 98.55
